Product Name,Category,Unit Cost,Selling Price,Current Stock,Min Stock,Max Stock,Warehouse,Supplier,Reliability,Lead Time,Shipment Expected,Shipment Actual,Shipment Cost,Order Qty,Order Date,Region
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,6,2025-09-05,APAC
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,3,2026-03-28,APAC
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2025-06-07,EU
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,3,2026-01-22,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-08-05,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-05-11,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,3,2026-02-07,EU
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,4,2026-01-23,EU
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,4,2026-01-09,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-19,APAC
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,3,2025-11-06,US
Connector Set,Parts,4.2,11.99,,,,,,,,,,,4,2025-08-15,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-05-02,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-08-20,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2025-05-26,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,4,2026-03-15,MEA
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,4,2025-12-06,MEA
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,3,2026-03-14,EU
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,2,2025-09-12,EU
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2026-01-21,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-11-06,EU
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,2,2025-08-01,APAC
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,21,2026-03-28,APAC
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-11-30,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-12-12,MEA
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,2,2025-09-16,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-11-13,MEA
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,4,2025-10-13,LATAM
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-10-26,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2025-11-07,APAC
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2026-02-08,LATAM
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-12-22,APAC
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,2,2026-05-20,MEA
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,10,2026-04-08,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,3,2025-11-26,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-07-03,APAC
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,5,2025-10-03,APAC
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-19,MEA
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2025-09-12,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2026-04-25,APAC
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-04-19,EU
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2025-11-03,MEA
Gear Set,Parts,14.0,28.0,,,,,,,,,,,5,2025-07-08,EU
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,7,2026-02-14,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,25,2026-05-15,US
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,3,2025-05-26,EU
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,4,2025-07-19,EU
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-01-31,LATAM
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-06-17,MEA
Connector Set,Parts,4.2,11.99,,,,,,,,,,,5,2026-01-28,APAC
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2025-06-01,US
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,7,2025-12-22,EU
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2025-11-19,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-04-07,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,29,2025-08-01,US
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,3,2025-09-03,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,18,2026-03-17,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-01-31,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,13,2025-06-24,APAC
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-12-21,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-02-13,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-07-05,MEA
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,15,2025-07-21,APAC
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,3,2026-03-08,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-05-29,APAC
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,25,2025-10-11,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2026-02-09,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,8,2025-09-02,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,16,2025-10-17,EU
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,2,2025-09-10,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,2,2026-02-27,LATAM
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2026-04-16,MEA
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,9,2026-04-10,LATAM
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,7,2026-03-16,APAC
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2025-11-13,US
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2025-09-10,MEA
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-07-20,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-06-17,MEA
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-06-07,EU
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,3,2025-10-06,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-24,MEA
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,7,2026-03-31,LATAM
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,1,2026-05-01,EU
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-11,APAC
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,5,2025-11-11,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-02-01,US
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2025-06-05,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-02-05,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,34,2025-11-22,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-24,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-08-22,APAC
Power Module,Electronics,22.0,49.99,,,,,,,,,,,3,2025-09-29,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,4,2025-12-20,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,5,2025-07-20,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,1,2025-09-17,US
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,6,2025-10-03,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,1,2025-07-20,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-08-03,APAC
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2025-06-26,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-03-17,MEA
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,12,2026-05-01,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,27,2025-10-23,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-01-11,APAC
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,4,2025-08-13,LATAM
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,5,2025-11-19,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,4,2025-09-27,MEA
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-01-02,MEA
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,12,2025-07-06,APAC
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,5,2025-07-03,EU
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-12-05,US
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2026-03-10,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2025-08-19,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-12-25,LATAM
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,2,2025-10-19,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,4,2026-04-21,US
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,5,2026-01-05,MEA
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,22,2025-10-21,APAC
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-02-20,EU
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,2,2025-07-19,EU
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,9,2025-11-15,US
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,10,2025-08-02,MEA
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,7,2025-07-28,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,1,2026-04-29,EU
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,4,2025-09-15,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,7,2026-02-04,MEA
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,7,2025-08-21,APAC
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,28,2026-03-13,MEA
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2026-03-05,LATAM
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-08-22,LATAM
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,6,2025-12-24,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,9,2025-09-16,MEA
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2025-07-13,EU
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-09-29,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-05-09,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-01-28,APAC
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-08-25,EU
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-08-30,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,4,2025-11-08,LATAM
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-10-15,LATAM
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,2,2026-03-20,EU
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2026-03-31,EU
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,1,2025-08-19,MEA
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,1,2026-02-03,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-05-11,US
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-11-23,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,15,2026-02-15,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,7,2025-11-15,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,5,2026-04-10,LATAM
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-03-01,MEA
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,5,2025-10-11,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,16,2025-08-14,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,25,2025-07-27,APAC
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2026-04-27,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,9,2025-11-02,US
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2025-06-15,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,8,2025-12-23,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-08-16,APAC
Connector Set,Parts,4.2,11.99,,,,,,,,,,,6,2026-05-18,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-02-15,EU
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2025-09-15,APAC
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,4,2026-01-17,APAC
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-10-30,EU
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,2,2025-08-22,APAC
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-11-29,MEA
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-09-21,APAC
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-04-16,US
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-09-18,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,7,2025-09-09,LATAM
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,12,2026-05-14,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,2,2025-08-29,MEA
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-06-10,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,13,2025-12-19,MEA
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,3,2026-02-28,LATAM
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2025-07-18,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-10-24,LATAM
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-09-09,EU
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,2,2026-01-09,LATAM
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-08-19,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,11,2026-05-25,EU
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,3,2025-11-03,EU
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-12-14,EU
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2025-11-29,MEA
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-05-18,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-02,EU
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,3,2026-03-16,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-12-06,US
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-09,US
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,5,2025-09-16,LATAM
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,3,2025-11-23,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,38,2025-08-30,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,11,2026-03-24,EU
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,4,2025-09-02,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2025-06-18,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,18,2026-03-08,US
Gear Set,Parts,14.0,28.0,,,,,,,,,,,7,2025-12-30,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,4,2025-06-05,MEA
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,10,2025-12-20,EU
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-02-10,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2026-05-14,LATAM
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,2,2025-09-12,MEA
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,7,2026-04-05,LATAM
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,2,2025-07-26,EU
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-09-05,MEA
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,3,2026-05-06,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,23,2025-08-14,APAC
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,7,2026-05-02,LATAM
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-02-01,APAC
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-02-04,LATAM
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-06,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2025-09-02,EU
Connector Set,Parts,4.2,11.99,,,,,,,,,,,3,2026-04-11,APAC
Connector Set,Parts,4.2,11.99,,,,,,,,,,,5,2025-06-11,MEA
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-09,MEA
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2025-10-10,APAC
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-09-22,APAC
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,2,2025-12-06,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2025-12-06,US
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-04-01,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-07,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,3,2026-05-10,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2025-08-26,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,3,2026-04-23,US
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-10-04,EU
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2026-03-16,LATAM
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,20,2026-04-19,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,15,2025-06-20,US
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-04-21,APAC
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,4,2025-07-25,MEA
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,7,2025-11-17,LATAM
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,8,2026-05-18,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2025-06-20,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,3,2026-04-02,MEA
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,6,2026-02-13,US
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2025-08-18,APAC
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,8,2025-12-22,LATAM
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,4,2025-07-13,MEA
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-09-25,US
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-02-12,US
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,14,2025-11-21,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,1,2025-09-20,LATAM
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2025-07-20,APAC
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2025-10-08,EU
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,2,2025-09-22,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2025-10-29,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,6,2026-05-14,EU
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,9,2025-09-04,MEA
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,4,2026-05-25,MEA
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-06-13,APAC
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,8,2025-10-31,EU
Hydraulic Press,Finished Goods,350.0,699.0,4,2,16,Northeast,Mu Industries,0.93,5,,,,,,
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,31,2026-05-21,LATAM
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,4,2026-05-07,APAC
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2025-10-01,APAC
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-05-13,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,5,2025-07-15,US
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,4,2026-05-16,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2026-03-01,EU
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,2,2025-07-04,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,5,2025-05-31,EU
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,3,2025-10-02,MEA
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,5,2025-06-12,EU
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-30,EU
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2026-01-21,APAC
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,6,2025-09-14,APAC
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-09-02,MEA
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2026-05-22,MEA
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2026-01-14,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,5,2025-09-21,US
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,3,2025-11-19,US
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,3,2026-05-16,EU
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2025-12-02,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,3,2025-12-08,MEA
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,5,2026-04-17,MEA
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2026-05-12,MEA
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,9,2025-08-02,US
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-10-18,LATAM
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,1,2026-03-31,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-04-14,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,16,2025-06-18,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2026-01-10,US
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-01-16,US
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,2,2026-01-21,EU
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,6,2026-02-08,EU
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2026-01-08,MEA
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,5,2025-12-30,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,2,2025-08-07,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-04-10,APAC
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,6,2025-09-02,APAC
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,9,2025-06-06,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-03-29,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-01-25,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2025-12-05,APAC
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2025-06-01,MEA
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,4,2025-11-01,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-11-14,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,6,2025-11-22,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,3,2025-06-12,LATAM
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-02-13,MEA
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-11-24,APAC
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,9,2025-12-09,MEA
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,3,2025-09-17,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,6,2025-08-08,US
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-01-26,APAC
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,3,2025-10-09,LATAM
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,4,2025-10-15,US
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2026-03-17,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,3,2026-01-17,LATAM
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,11,2026-04-04,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,12,2025-05-28,EU
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2026-03-02,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-05-05,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,7,2025-08-08,MEA
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,1,2025-09-22,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2025-08-31,EU
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,5,2025-09-12,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,8,2025-09-20,LATAM
