Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
Shipping Tape Clear 6pk Pro,38.14,54.34,2484,Packaging,West Coast,25,13027
Shipping Labels 4x6 500ct Compact,25.99,37.95,5694,Packaging,South,58,16851
Poly Mailers 10x13 100pk Smart,30.11,39.84,7799,Packaging,Midwest,85,13995
Stretch Wrap 18in 1000ft Elite,62.88,98.68,9919,Packaging,Midwest,93,11124
Kraft Packing Paper 25lb Bulk,9.1,12.7,5710,Packaging,South,88,14235
Foam Sheets 12x12 50pk Lite,23.39,30.58,4544,Packaging,South,56,14869
Strapping Tape 2in 6pk Eco,28.86,45.09,4022,Packaging,West Coast,92,11566
Pallet Wrap 80ga 1500ft Standard,18.07,24.11,6842,Packaging,South,55,12161
Air Pillow Film Roll HD,60.6,77.29,2381,Packaging,International,57,11556
Tissue Paper White 100pk XL,64.42,91.55,3449,Packaging,South,79,14765
Gift Boxes Assorted 12pk V2,11.43,17.02,4875,Packaging,South,51,11685
Satin Ribbon Roll 50yd Bulk,17.29,25.23,8242,Packaging,Midwest,67,12012
Gift Bags Medium 24pk Lite+,64.82,101.96,7621,Packaging,East Coast,88,12796
Kraft Paper Roll 36in x 200ft Premium,54.93,71.46,6269,Packaging,Primary,90,13220
Corrugated Roll 48in x 100ft Lite,17.81,28.03,8210,Packaging,South,78,17657
Whole Bean Coffee 2lb Elite,45.52,60.49,1752,Food & Beverage,Primary,12,4088
Ground Coffee Medium 5lb HD,35.29,46.63,472,Food & Beverage,Midwest,21,4790
Earl Grey Tea 200ct Bulk,8.33,10.11,1510,Food & Beverage,Primary,30,3223
Cane Sugar 10lb Lite,16.7,22.41,1129,Food & Beverage,International,10,3392
Coffee Creamer Singles 100pk HD,12.86,18.8,2350,Food & Beverage,Primary,7,3040
Paper Cups 12oz 100pk Bulk,53.77,75.38,1194,Food & Beverage,East Coast,19,3985
PLA Lids 12oz 100pk Eco,34.77,46.93,1122,Food & Beverage,East Coast,23,4448
Wood Stirrers 1000pk Max,3.22,4.36,930,Food & Beverage,East Coast,11,4569
Cocktail Napkins 500pk Basic,34.66,51.44,403,Food & Beverage,Midwest,24,4104
Paper Plates 9in 100pk Mini,7.07,10.22,935,Food & Beverage,South,13,4882
Wood Cutlery Set 200pk V2,49.27,72.48,1174,Food & Beverage,East Coast,9,3012
Spring Water 24pk 16oz Standard,25.07,36.38,1613,Food & Beverage,East Coast,20,3874
Granola Bars Variety 36pk Mini,46.91,60.65,1849,Food & Beverage,International,20,3615
Mixed Nuts 2lb Canister Compact,47.08,66.51,124,Food & Beverage,East Coast,23,4112
Dried Fruit Mix 3lb Lite+,25.14,36.61,1432,Food & Beverage,Midwest,16,3084
Multigrain Crackers 8pk Advanced,34.63,49.98,2514,Food & Beverage,East Coast,12,4527
Creamy Peanut Butter 40oz Lite,33.85,47.21,1576,Food & Beverage,East Coast,11,4654
Strawberry Jam 32oz V3,18.65,24.09,1048,Food & Beverage,East Coast,28,4190
Chicken Noodle Soup 6pk Compact,33.82,44.45,129,Food & Beverage,East Coast,27,5307
Solid Light Tuna 8pk Lite,25.97,37.14,1622,Food & Beverage,West Coast,24,4413
Jasmine Rice 25lb Compact,3.09,4.03,1854,Food & Beverage,Midwest,19,3366
Penne Pasta 6pk 1lb Premium,20.46,25.46,1094,Food & Beverage,East Coast,21,3647
Extra Virgin Olive Oil 1L Eco,47.24,64.99,2483,Food & Beverage,Primary,22,3801
Balsamic Vinegar 500ml Compact,21.32,30.19,398,Food & Beverage,Primary,28,3650
Sea Salt & Pepper Set Smart,38.85,45.36,354,Food & Beverage,Midwest,22,4045
Spice Rack 20-Jar Max,17.54,25.44,1170,Food & Beverage,Midwest,11,3938
Raw Honey 32oz Standard,10.83,12.71,407,Food & Beverage,South,25,3213
Organic Granola 2lb V2,17.28,22.72,1763,Food & Beverage,Primary,11,3967
Whey Protein 5lb Chocolate V3,33.94,39.95,445,Food & Beverage,South,14,3732
Electrolyte Mix 30pk Lemon Mini,43.29,58.17,1541,Food & Beverage,East Coast,29,3732
Wireless Mouse Basic,839.27,1047.63,9,Electronics,West Coast,3,587
Mechanical Keyboard Advanced,732.91,989.7,463,Electronics,East Coast,1,701
USB-C Hub V2,48.27,58.52,72,Electronics,West Coast,2,811
Webcam HD Elite,705.93,942.39,237,Electronics,Primary,2,863
Bluetooth Speaker Eco,150.07,208.96,26,Electronics,East Coast,1,693
Portable Charger Pro,262.05,356.8,255,Electronics,South,4,781
HDMI Cable Compact,800.47,1069.95,336,Electronics,South,5,681
SSD 1TB Elite,647.93,939.33,389,Electronics,Midwest,3,768
RAM 16GB Module V2,455.32,614.63,417,Electronics,Primary,1,605
Graphics Card RTX Smart,895.27,1331.07,64,Electronics,Midwest,5,711
CPU Processor Compact,273.07,316.64,254,Electronics,Primary,2,884
Motherboard ATX V3,394.81,554.86,80,Electronics,International,4,802
Power Supply 750W Max,585.92,744.58,130,Electronics,East Coast,2,508
PC Case Mid-Tower Ultra,231.36,303.01,369,Electronics,East Coast,4,690
Monitor 27 4K Ultra,121.72,186.7,130,Electronics,Primary,2,827
Laptop Stand Aluminum Standard,339.76,438.37,470,Electronics,Midwest,4,834
Noise Cancelling Headphones Lite,540.42,698.17,267,Electronics,Primary,5,744
Smart Watch Pro Lite+,65.64,84.19,163,Electronics,Primary,5,584
Fitness Tracker Band Mini,135.62,194.54,143,Electronics,South,1,512
Wireless Earbuds V3,569.45,739.43,234,Electronics,South,4,671
Tablet 10 inch Ultra,315.5,404.03,193,Electronics,South,1,764
E-Reader Paperwhite Mini,795.76,1156.56,226,Electronics,International,5,518
Smart Plug WiFi Basic,657.15,904.59,39,Electronics,West Coast,2,693
WiFi Router AX Ultra,659.65,926.2,78,Electronics,East Coast,2,890
Network Switch 8-Port Lite,557.1,702.12,117,Electronics,West Coast,1,522
External HDD 2TB Pro,858.44,1053.99,296,Electronics,East Coast,2,713
Flash Drive 128GB HD,494.62,619.29,474,Electronics,Primary,2,500
Memory Card 256GB V2,773.66,971.87,252,Electronics,Midwest,1,612
Desk Lamp LED V2,832.72,1122.0,45,Electronics,South,4,675
Phone Charger 65W XL,766.28,1174.15,137,Electronics,South,5,785
Screen Protector Glass Bulk,570.21,730.22,84,Electronics,International,5,766
Phone Case Silicone Premium,726.54,1061.71,130,Electronics,Midwest,2,511
Laptop Sleeve 15in Lite+,248.61,379.37,158,Electronics,Midwest,4,870
Monitor Arm Single Plus,857.13,1088.67,446,Electronics,East Coast,3,554
Keyboard Wrist Rest Basic,205.14,300.2,455,Electronics,East Coast,2,737
Mouse Pad XXL Mini,629.16,850.84,216,Electronics,South,4,714
Cable Management Kit Bulk,272.68,340.03,324,Electronics,Primary,4,839
Surge Protector 12-Outlet Bulk,833.88,977.94,212,Electronics,Midwest,4,578
UPS Battery 1500VA Lite+,880.63,1130.3,194,Electronics,East Coast,1,657
USB Microphone Lite+,791.8,1066.35,495,Electronics,East Coast,4,801
Ring Light 18in Compact,389.94,485.1,129,Electronics,West Coast,5,584
Green Screen 5x7ft V2,540.19,749.45,441,Electronics,Primary,1,551
Streaming Deck MK2 Lite,717.59,827.67,281,Electronics,Primary,4,752
Capture Card 4K Max,892.69,1027.34,95,Electronics,West Coast,1,568
Drone Camera Pro XL,612.47,929.26,363,Electronics,South,3,841
Action Camera 4K Lite,41.18,62.06,174,Electronics,South,1,519
Digital Camera Mirrorless Lite,889.43,1241.42,425,Electronics,Midwest,2,587
Camera Lens 50mm Lite+,101.25,140.47,320,Electronics,South,5,536
Tripod Carbon Fiber Standard,129.06,172.29,441,Electronics,International,3,580
Camera Bag Backpack Advanced,91.03,126.77,357,Electronics,Midwest,3,516
SD Card Reader Bulk,600.18,857.04,419,Electronics,South,4,683
Ballpoint Pens 12pk Standard,53.56,86.95,841,Office Supplies,West Coast,17,2481
Sticky Notes 8pk Bulk,38.69,57.14,1460,Office Supplies,Primary,8,2075
File Folders 24pk Plus,106.2,134.94,240,Office Supplies,East Coast,18,2258
Printer Paper A4 5-Ream Lite,51.56,72.17,675,Office Supplies,Midwest,11,3471
Ink Cartridge Black XL HD,74.37,130.74,1388,Office Supplies,East Coast,13,3452
Ink Cartridge Color Combo Lite+,118.46,168.04,820,Office Supplies,Primary,10,2706
Desk Organizer Bamboo Plus,6.62,11.33,536,Office Supplies,Midwest,16,2382
Paper Shredder Cross-Cut Ultra,118.84,170.95,1472,Office Supplies,East Coast,14,2920
Laminator Machine A4 Bulk,134.41,218.34,1368,Office Supplies,South,14,3539
Label Maker Portable V2,2.33,3.89,1974,Office Supplies,Primary,12,2851
Whiteboard Magnetic 48x36 Lite+,157.72,220.92,106,Office Supplies,South,8,2491
Dry Erase Markers 8pk Smart,89.67,122.55,434,Office Supplies,Primary,9,2855
Whiteboard Eraser Pro,114.05,185.54,1658,Office Supplies,Primary,15,2690
Stapler Heavy-Duty Mini,87.42,148.14,1046,Office Supplies,East Coast,10,2432
Staples 5000pk Bulk,122.78,210.53,1543,Office Supplies,South,20,2560
Tape Dispenser Desktop Compact,160.24,287.82,1274,Office Supplies,International,10,2890
Scissors Titanium Plus,82.44,134.5,1140,Office Supplies,Midwest,13,3103
Paper Clips 100pk Plus,51.92,62.86,1226,Office Supplies,Midwest,6,2971
Binder Clips Assorted 24pk Ultra,164.62,257.67,492,Office Supplies,East Coast,14,3210
Rubber Bands 1lb Ultra,48.38,83.93,1765,Office Supplies,International,5,2469
Envelopes White 100pk Elite,46.49,63.19,1106,Office Supplies,East Coast,11,2083
Notebooks College-Ruled 6pk Ultra,43.78,52.6,117,Office Supplies,South,6,2560
Daily Planner 2024 Basic,169.25,204.76,1798,Office Supplies,South,13,3574
Scientific Calculator Plus,89.9,139.17,1113,Office Supplies,Primary,13,3596
Ruler Metal 12in Eco,166.69,238.94,1506,Office Supplies,South,14,2362
3-Hole Punch V3,3.54,5.16,693,Office Supplies,Primary,11,2982
Letter Tray Stackable Mini,24.25,40.0,548,Office Supplies,West Coast,9,3346
Magazine Rack Wire Premium,75.39,131.45,437,Office Supplies,Primary,9,2740
Bulletin Board Cork 36x24 Standard,56.4,86.03,1143,Office Supplies,East Coast,6,2156
Push Pins Colored 100pk Mini,153.69,184.73,510,Office Supplies,West Coast,6,3594
Correction Tape 3pk V2,21.29,31.31,268,Office Supplies,South,20,3568
Glue Sticks Washable 6pk Ultra,92.43,137.6,1278,Office Supplies,West Coast,12,2170
Index Cards Ruled 200pk Lite,64.23,92.02,407,Office Supplies,Primary,12,3485
Graph Paper Pad 4x4 Smart,144.98,242.98,196,Office Supplies,East Coast,6,2332
Legal Pads Yellow 3pk Bulk,29.7,50.17,1115,Office Supplies,International,10,2980
Presentation Folders 25pk XL,6.33,10.84,1643,Office Supplies,South,17,2212
Sheet Protectors 50pk Compact,39.01,51.26,1325,Office Supplies,South,19,3584
Report Covers Prong 12pk Lite,175.73,289.39,1729,Office Supplies,Midwest,19,3141
Clipboard Letter-Size Compact,58.68,83.4,1863,Office Supplies,Midwest,5,2074
Pen Holder Mesh V3,1.67,2.36,1381,Office Supplies,West Coast,15,3328
Ergonomic Office Chair HD,1058.39,1166.59,42,Furniture,East Coast,2,110
Electric Standing Desk Mini,846.7,1073.97,16,Furniture,Midwest,1,160
L-Shaped Corner Desk Basic,1394.73,1837.93,45,Furniture,Primary,1,179
5-Tier Bookshelf Bulk,370.84,467.68,56,Furniture,Primary,2,104
3-Drawer Filing Cabinet Plus,1316.8,1711.11,19,Furniture,East Coast,2,148
Conference Table 8-seat Premium,499.02,610.61,11,Furniture,Midwest,2,109
Guest Chair Padded Standard,1043.23,1274.89,5,Furniture,East Coast,2,141
Desk Lamp Architect Lite,1221.87,1685.48,79,Furniture,Primary,1,146
Chair Floor Mat 48x36 Mini,1365.38,1816.5,42,Furniture,South,1,123
Monitor Riser Wood V3,829.74,932.34,8,Furniture,South,2,139
Storage Cabinet Locking Basic,1281.21,1439.95,93,Furniture,International,2,170
Coat Rack Standing Standard,172.09,210.14,7,Furniture,Primary,2,153
Waste Basket Metal Bulk,402.25,448.76,10,Furniture,Primary,1,175
Under-Desk Drawer Unit Mini,1251.76,1392.91,48,Furniture,Primary,2,169
Computer Desk Compact Premium,251.77,347.92,33,Furniture,East Coast,1,142
Gaming Chair Racing V2,920.18,1169.28,15,Furniture,East Coast,1,160
Recliner Leather Max,266.19,369.26,89,Furniture,Primary,1,152
3-Seat Sofa Fabric Advanced,1229.47,1565.12,95,Furniture,South,1,163
Coffee Table Glass Eco,116.04,134.99,87,Furniture,South,2,124
Side Table Round Standard,504.93,616.7,77,Furniture,West Coast,2,174
TV Stand 65in Premium,374.93,508.72,17,Furniture,International,2,132
Shoe Rack 4-Tier Smart,714.33,995.31,53,Furniture,International,1,132
Wardrobe Sliding-Door Max,822.08,1105.15,76,Furniture,East Coast,1,131
6-Drawer Dresser Plus,350.12,411.39,7,Furniture,East Coast,1,150
Nightstand 2-Drawer V3,412.49,467.67,2,Furniture,International,1,114
Queen Bed Frame Metal Pro,599.23,720.52,59,Furniture,International,1,118
Queen Memory Foam Mattress Mini,1220.91,1462.08,54,Furniture,International,2,166
Dining Table 6-seat Oak Premium,640.26,743.0,83,Furniture,Midwest,1,126
Dining Chair Padded 2pk XL,291.62,379.04,86,Furniture,Midwest,1,162
Bar Stool Adjustable Premium,632.12,743.14,57,Furniture,Primary,2,120
Kitchen Island Cart Plus,1056.46,1328.27,28,Furniture,West Coast,2,114
Pantry Cabinet Tall Max,421.9,486.5,100,Furniture,South,1,160
Bathroom Vanity 36in Lite,835.55,1006.3,84,Furniture,East Coast,1,157
Mirror Cabinet LED Premium,1180.87,1640.29,36,Furniture,East Coast,1,161
Laundry Hamper Bamboo Ultra,1270.06,1403.6,32,Furniture,East Coast,2,149
Room Divider 4-Panel Basic,730.74,1008.56,16,Furniture,South,2,147
Accent Chair Velvet Premium,976.72,1154.04,86,Furniture,Primary,2,151
Ottoman Storage Lite,809.17,1104.88,32,Furniture,East Coast,2,132
Console Table Entryway Basic,1203.24,1530.91,69,Furniture,Midwest,1,180
Storage Bench Entryway Advanced,39.6,54.95,43,Furniture,West Coast,2,172
All-Purpose Cleaner 1gal Pro,22.68,30.47,2559,Cleaning,International,37,6028
Glass Cleaner Spray 32oz Premium,27.21,42.57,4978,Cleaning,West Coast,46,7310
Disinfectant Wipes 6pk Mini,18.34,28.65,2056,Cleaning,West Coast,30,5187
Floor Cleaner Concentrate XL,22.27,30.52,2781,Cleaning,Midwest,41,5932
Bathroom Cleaner Foaming Basic,2.71,3.49,4679,Cleaning,Midwest,18,5947
Kitchen Degreaser Plus,10.81,15.74,644,Cleaning,South,16,7789
Air Freshener Refills 3pk Ultra,32.89,44.74,1807,Cleaning,Primary,23,6519
Microfiber Cloths 12pk Plus,13.03,22.27,3401,Cleaning,International,17,6148
Scrub Sponges 6pk Elite,40.26,68.3,815,Cleaning,East Coast,31,8782
Rubber Gloves Latex 3pk Smart,7.11,11.75,4951,Cleaning,International,44,8057
Trash Bags 13gal 50pk Eco,3.9,6.22,4482,Cleaning,International,20,7692
Paper Towels 12-Roll Pro,41.83,62.53,1822,Cleaning,West Coast,36,8635
Toilet Paper 24-Roll Mini,5.81,8.96,4765,Cleaning,Midwest,27,5000
Hand Soap Refill 1gal XL,42.19,68.63,4607,Cleaning,International,20,5110
Hand Sanitizer Pump 32oz Mini,44.17,67.84,2304,Cleaning,East Coast,22,5704
Spin Mop System Eco,33.71,54.48,1654,Cleaning,East Coast,23,5809
Angle Broom Standard,21.82,34.49,1898,Cleaning,Primary,49,5550
Dustpan Combo Mini,33.21,53.54,3053,Cleaning,West Coast,50,8098
Vacuum Bags 6pk HD,8.62,11.05,1353,Cleaning,Primary,40,6548
Dish Soap Lemon 32oz V2,18.11,27.46,3493,Cleaning,East Coast,16,5347
Dishwasher Pods 60pk V3,5.15,7.51,3610,Cleaning,East Coast,24,7865
Laundry Detergent 100oz Premium,32.69,52.53,4398,Cleaning,South,47,8682
Fabric Softener Sheets 240ct Bulk,40.11,53.29,4918,Cleaning,South,44,7705
Stain Remover Spray V3,43.01,62.9,3696,Cleaning,West Coast,27,6293
Bleach Concentrate 1gal Smart,11.21,18.12,214,Cleaning,West Coast,22,6662
Extendable Duster 10ft Compact,35.22,52.21,795,Cleaning,International,47,5472
Window Squeegee 12in Max,40.74,55.6,4420,Cleaning,Midwest,17,7294
Toilet Brush Set Compact,41.1,63.31,1157,Cleaning,East Coast,13,7121
Heavy-Duty Plunger Basic,39.66,65.42,2020,Cleaning,South,13,7082
Drain Cleaner Gel 32oz Basic,40.03,54.87,4574,Cleaning,South,15,6389
Lint Roller Mega 4pk Basic,6.02,8.31,4546,Cleaning,East Coast,18,8391
Carpet Cleaner Shampoo Plus,20.39,34.16,1731,Cleaning,East Coast,18,8288
Wood Polish Spray Lite,24.27,37.92,635,Cleaning,International,37,7952
Stainless Steel Cleaner Basic,5.45,8.88,3825,Cleaning,West Coast,20,7790
Oven Cleaner Heavy-Duty Bulk,3.29,5.37,273,Cleaning,International,11,8534
Grout Cleaner Brush Set Pro,5.6,7.46,4849,Cleaning,International,15,5338
First Aid Kit 200-Piece V3,121.75,174.33,459,Safety,West Coast,10,1663
Fire Extinguisher ABC 5lb Plus,197.5,278.86,629,Safety,East Coast,2,1736
Safety Goggles Anti-Fog XL,80.27,111.2,823,Safety,West Coast,10,1661
Work Gloves Leather 12pk Standard,67.42,79.54,842,Safety,International,4,1614
Hard Hat OSHA-Compliant Elite,136.38,170.55,544,Safety,East Coast,3,1154
Safety Vest Hi-Vis 10pk Standard,126.85,180.88,331,Safety,Primary,8,1480
Ear Plugs NRR32 50pk Advanced,110.37,127.94,623,Safety,International,2,1002
N95 Dust Masks 50pk Premium,221.79,284.39,661,Safety,West Coast,7,1090
Face Shields Anti-Fog 5pk Advanced,70.94,85.3,396,Safety,Midwest,3,1241
Steel-Toe Work Boots Max,200.03,265.86,339,Safety,Primary,7,1677
Knee Pads Gel-Insert XL,79.6,96.28,600,Safety,Primary,8,1747
Back Support Belt Large Basic,179.43,245.6,64,Safety,East Coast,8,1212
Anti-Fatigue Mat 3x5ft HD,151.72,207.09,481,Safety,South,7,1017
Wet Floor Sign Bilingual Advanced,48.64,57.03,284,Safety,Midwest,2,1125
Traffic Cone 28in Premium,209.22,249.7,579,Safety,Primary,10,1756
Fire Blanket 4x6ft Premium,157.52,195.41,887,Safety,Midwest,4,1560
Smoke Detector 10-Year Lite+,220.47,272.76,208,Safety,East Coast,8,1735
CO Detector Digital Advanced,162.99,210.24,258,Safety,Primary,4,1689
Emergency Kit 72-Hour Max,175.07,239.26,312,Safety,South,4,1534
Heavy-Duty Flashlight Standard,103.69,125.0,258,Safety,International,8,1774
AA Batteries 24pk Max,93.96,131.9,551,Safety,Primary,8,1219
AAA Batteries 24pk Standard,240.31,297.54,483,Safety,West Coast,2,1399
Extension Cord 25ft 12AWG Compact,41.7,61.76,392,Safety,East Coast,6,1043
Power Strip 6-Outlet USB Compact,197.8,277.39,387,Safety,International,7,1556
Cable Protector Ramp V2,75.58,112.29,943,Safety,Primary,2,1684
Lockout Tagout Kit Lite+,96.19,124.46,296,Safety,South,6,1525
Hazmat Spill Kit 5gal Advanced,127.79,188.02,800,Safety,Primary,5,1748
Eye Wash Station Wall XL,62.64,87.33,541,Safety,West Coast,4,1282
Flammable Storage Cabinet Max,118.02,170.08,73,Safety,West Coast,7,1038
4-Gas Detector Meter Plus,248.3,310.87,219,Safety,West Coast,5,1213
Small Box 8x8x8 25pk V3,74.74,97.39,5262,Packaging,International,35,13233
Medium Box 12x12x12 25pk Eco,72.8,110.83,1575,Packaging,South,32,15827
Large Box 18x18x18 15pk Ultra,47.83,71.19,2127,Packaging,South,89,10395
Bubble Wrap Roll 175ft V3,22.46,27.77,3343,Packaging,East Coast,83,11775
Packing Peanuts 14cu ft Compact,58.32,93.3,742,Packaging,Primary,72,17002
Shipping Tape Clear 6pk Lite,86.1,134.94,8372,Packaging,West Coast,83,16212
Shipping Labels 4x6 500ct Compact,9.48,15.02,6771,Packaging,South,90,15900
Poly Mailers 10x13 100pk Pro,1.95,2.48,535,Packaging,Primary,23,14801
Stretch Wrap 18in 1000ft Bulk,70.3,87.51,2195,Packaging,Primary,96,14291
Kraft Packing Paper 25lb Eco,62.27,83.04,8248,Packaging,West Coast,53,15974
Foam Sheets 12x12 50pk Smart,11.65,17.36,6907,Packaging,South,20,17227
Strapping Tape 2in 6pk V3,35.87,51.79,5765,Packaging,Primary,37,17257
Pallet Wrap 80ga 1500ft Lite,28.7,35.25,2118,Packaging,South,87,15237
Air Pillow Film Roll Standard,10.69,14.08,3890,Packaging,Midwest,70,14340
Tissue Paper White 100pk Bulk,75.59,108.44,6772,Packaging,International,44,11397
Gift Boxes Assorted 12pk V2,84.8,122.33,8387,Packaging,East Coast,38,10602
Satin Ribbon Roll 50yd Ultra,25.48,34.02,1357,Packaging,Primary,31,12090
Gift Bags Medium 24pk Standard,12.57,17.78,802,Packaging,Primary,66,15164
Kraft Paper Roll 36in x 200ft Bulk,22.15,34.87,7123,Packaging,International,75,17915
Corrugated Roll 48in x 100ft Plus,47.22,58.48,2210,Packaging,Primary,74,16392
Whole Bean Coffee 2lb Plus,52.02,75.75,256,Food & Beverage,West Coast,22,3832
Ground Coffee Medium 5lb Compact,23.09,31.46,141,Food & Beverage,International,18,3630
Earl Grey Tea 200ct Ultra,5.85,8.65,901,Food & Beverage,East Coast,9,3718
Cane Sugar 10lb Premium,49.57,63.18,1790,Food & Beverage,East Coast,22,5253
Coffee Creamer Singles 100pk HD,32.32,42.66,2017,Food & Beverage,International,19,5299
Paper Cups 12oz 100pk Max,34.92,52.18,1110,Food & Beverage,Primary,15,3165
PLA Lids 12oz 100pk Eco,18.11,24.34,2191,Food & Beverage,West Coast,20,3794
Wood Stirrers 1000pk Standard,14.58,21.17,2283,Food & Beverage,East Coast,29,5165
Cocktail Napkins 500pk HD,4.44,5.47,1563,Food & Beverage,Primary,25,3508
Paper Plates 9in 100pk Mini,37.35,48.86,2872,Food & Beverage,South,6,3194
Wood Cutlery Set 200pk XL,54.64,73.94,295,Food & Beverage,South,15,4170
Spring Water 24pk 16oz V2,51.55,72.18,1885,Food & Beverage,East Coast,14,5387
Granola Bars Variety 36pk Compact,42.08,58.79,2584,Food & Beverage,South,26,4723
Mixed Nuts 2lb Canister Elite,44.83,65.2,2720,Food & Beverage,International,15,5263
Dried Fruit Mix 3lb Smart,42.25,59.62,2798,Food & Beverage,Primary,27,4868
Multigrain Crackers 8pk Advanced,17.66,23.62,1529,Food & Beverage,International,24,4573
Creamy Peanut Butter 40oz Elite,15.15,19.17,451,Food & Beverage,South,15,3087
Strawberry Jam 32oz Standard,32.18,45.93,826,Food & Beverage,Primary,11,3779
Chicken Noodle Soup 6pk V2,46.48,66.58,943,Food & Beverage,Midwest,15,3578
Solid Light Tuna 8pk Compact,31.89,47.4,254,Food & Beverage,South,19,3094
Jasmine Rice 25lb Lite+,10.22,14.04,1902,Food & Beverage,Primary,30,4710
Penne Pasta 6pk 1lb Ultra,11.22,13.75,2330,Food & Beverage,South,29,3934
Extra Virgin Olive Oil 1L Smart,13.68,18.94,2497,Food & Beverage,South,17,3999
Balsamic Vinegar 500ml Max,36.83,49.59,101,Food & Beverage,West Coast,15,3012
Sea Salt & Pepper Set HD,49.03,58.41,613,Food & Beverage,South,28,5319
Spice Rack 20-Jar HD,20.09,26.97,633,Food & Beverage,South,18,4469
Raw Honey 32oz Max,25.01,31.09,2285,Food & Beverage,Midwest,18,5346
Organic Granola 2lb XL,23.57,27.71,917,Food & Beverage,Midwest,6,5301
Whey Protein 5lb Chocolate HD,7.21,10.39,626,Food & Beverage,South,30,3779
Electrolyte Mix 30pk Lemon Bulk,32.29,48.21,522,Food & Beverage,West Coast,14,3786
Wireless Mouse Compact,489.61,610.17,412,Electronics,West Coast,3,760
Mechanical Keyboard Plus,769.9,1141.77,89,Electronics,East Coast,4,885
USB-C Hub Pro,10.83,16.15,227,Electronics,Midwest,5,700
Webcam HD Lite,898.61,1075.38,395,Electronics,East Coast,4,757
Bluetooth Speaker Lite,77.69,95.35,318,Electronics,Primary,3,513
Portable Charger Lite,340.8,399.55,336,Electronics,West Coast,3,541
HDMI Cable Smart,70.48,101.85,32,Electronics,East Coast,4,708
SSD 1TB Advanced,180.33,249.39,231,Electronics,East Coast,4,821
RAM 16GB Module Plus,658.33,815.15,148,Electronics,Midwest,3,508
Graphics Card RTX Ultra,401.21,506.57,88,Electronics,Midwest,1,865
CPU Processor Max,654.79,952.84,215,Electronics,East Coast,2,805
Motherboard ATX XL,22.42,32.95,386,Electronics,International,4,871
Power Supply 750W Lite+,830.93,1262.38,87,Electronics,South,5,858
PC Case Mid-Tower Lite,693.36,870.46,208,Electronics,South,5,845
Monitor 27 4K Premium,65.11,79.96,108,Electronics,Primary,4,618
Laptop Stand Aluminum Max,859.0,1095.81,371,Electronics,West Coast,2,603
Noise Cancelling Headphones Compact,102.3,139.93,45,Electronics,East Coast,4,505
Smart Watch Pro V2,611.84,722.85,88,Electronics,Primary,1,694
Fitness Tracker Band Eco,676.55,842.43,267,Electronics,Midwest,3,567
Wireless Earbuds Lite+,493.77,760.69,197,Electronics,East Coast,1,597
Tablet 10 inch Ultra,71.53,101.37,156,Electronics,South,3,635
E-Reader Paperwhite Plus,654.76,797.16,301,Electronics,East Coast,3,524
Smart Plug WiFi Compact,268.14,312.97,423,Electronics,West Coast,1,720
WiFi Router AX Standard,895.46,1114.49,109,Electronics,Midwest,3,552
Network Switch 8-Port Lite+,483.09,734.82,468,Electronics,Midwest,4,879
External HDD 2TB Advanced,157.43,192.8,12,Electronics,Primary,2,827
Flash Drive 128GB Lite+,805.37,1115.92,428,Electronics,International,2,552
Memory Card 256GB V3,238.68,363.33,219,Electronics,South,2,793
Desk Lamp LED Bulk,662.42,891.96,379,Electronics,East Coast,5,724
Phone Charger 65W HD,780.59,970.0,426,Electronics,Primary,5,624
Screen Protector Glass Advanced,163.61,232.75,168,Electronics,West Coast,4,514
Phone Case Silicone Eco,517.32,687.96,383,Electronics,International,1,752
Laptop Sleeve 15in Elite,492.42,691.68,211,Electronics,Midwest,1,732
Monitor Arm Single Plus,365.38,557.31,125,Electronics,East Coast,4,765
Keyboard Wrist Rest Pro,331.75,381.81,281,Electronics,International,2,543
Mouse Pad XXL V2,166.5,233.38,172,Electronics,Midwest,2,544
Cable Management Kit XL,18.27,23.46,234,Electronics,West Coast,1,851
Surge Protector 12-Outlet Compact,514.64,742.62,272,Electronics,South,2,537
UPS Battery 1500VA Max,298.02,390.16,238,Electronics,South,5,520
USB Microphone Elite,483.16,687.41,125,Electronics,South,4,819
Ring Light 18in Basic,263.48,360.62,13,Electronics,Primary,2,564
Green Screen 5x7ft Bulk,719.55,1101.31,359,Electronics,South,2,839
Streaming Deck MK2 HD,877.63,1219.28,359,Electronics,West Coast,3,759
Capture Card 4K Max,271.83,378.45,438,Electronics,South,5,762
Drone Camera Pro Lite,584.31,738.23,236,Electronics,Midwest,5,759
Action Camera 4K Plus,627.28,832.13,187,Electronics,South,2,620
Digital Camera Mirrorless Compact,405.58,543.9,281,Electronics,South,2,513
Camera Lens 50mm Ultra,251.04,367.05,498,Electronics,International,5,532
Tripod Carbon Fiber Ultra,447.93,610.47,201,Electronics,South,5,576
Camera Bag Backpack Elite,824.21,1114.6,372,Electronics,West Coast,2,566
SD Card Reader Advanced,521.24,702.4,388,Electronics,South,1,829
Ballpoint Pens 12pk Bulk,123.0,147.65,1337,Office Supplies,International,9,3397
Sticky Notes 8pk Eco,66.99,108.34,1828,Office Supplies,West Coast,4,3358
File Folders 24pk Compact,69.19,108.75,1424,Office Supplies,Primary,18,3165
